ID,taxonomy
OTU_10164,k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10165,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10166,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10167,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10168,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10169,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1017,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__Haliangium; s__unidentified
OTU_10170,k__Bacteria; p__Parcubacteria; c__groundwater_metagenome; o__groundwater_metagenome; f__groundwater_metagenome; g__groundwater_metagenome; s__groundwater_metagenome
OTU_10171,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10172,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10173,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10174,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10175,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10176,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10177,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10178,k__Bacteria; p__Microgenomates; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10179,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1018,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__unidentified; g__unidentified; s__unidentified
OTU_10180,k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10181,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10182,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10183,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_vadinBB60_group; g__unidentified; s__unidentified
OTU_10184,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10185,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__OM27_clade; s__unidentified
OTU_10186,k__Bacteria; p__Parcubacteria
OTU_10187,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10188,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10189,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1019,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Oligoflexales; f__Oligoflexaceae; g__unidentified; s__unidentified
OTU_10190,k__Bacteria; p__Parcubacteria; c__bacterium_SH4-10; o__bacterium_SH4-10; f__bacterium_SH4-10; g__bacterium_SH4-10; s__bacterium_SH4-10
OTU_10191,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10192,k__Bacteria; p__Microgenomates; c__Candidatus_Pacebacteria
OTU_10193,k__Bacteria; p__Parcubacteria; c__bacterium_SH4-10; o__bacterium_SH4-10; f__bacterium_SH4-10; g__bacterium_SH4-10; s__bacterium_SH4-10
OTU_10194,k__Bacteria; p__Parcubacteria
