ID,BS0F1s_1,BS0F1s_2,BS0F1s_3,BS0F1s_4,BS0F2s_1,BS0F2s_2,BS0F2s_3,BS0F2s_4,BS1F1s_1,BS1F1s_2,BS1F1s_3,BS1F1s_4,BS1F2s_1,BS1F2s_2,BS1F2s_3,BS1F2s_4,DS0F1s_1,DS0F1s_2,DS0F1s_3,DS0F1s_4,DS0F2s_2,DS0F2s_3,DS0F2s_4,DS1F1s_1,DS1F1s_2,DS1F1s_3,DS1F1s_4,DS1F2s_1,DS1F2s_2,DS1F2s_3,DS1F2s_4,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_13850,9,10,8,3,6,1,4,7,9,11,0,8,9,7,8,12,0,6,7,4,6,10,8,9,8,9,4,5,5,5,9,10,3,6,10,11,5,6,3,4,8,6,12,4,10,6
OTU_13851,1,5,1,3,3,2,1,3,3,3,0,4,2,3,2,3,3,5,5,3,4,3,0,2,1,2,3,2,5,6,3,1,1,2,4,3,5,2,4,3,1,1,3,3,2,5
OTU_13852,0,1,2,0,1,1,1,0,0,0,0,0,0,0,2,2,0,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0
OTU_13853,0,0,0,1,2,1,1,1,0,3,0,0,2,0,0,0,0,0,0,0,2,2,1,1,2,1,0,1,2,0,2,1,0,0,0,0,0,1,0,0,2,1,1,3,0,1
OTU_13854,0,3,1,5,1,1,2,2,2,2,5,5,2,2,3,2,1,3,0,2,0,1,3,2,4,2,4,2,1,3,3,1,1,3,3,2,0,0,3,1,0,1,1,0,4,2
OTU_13855,0,1,0,1,0,0,2,2,1,0,0,3,0,0,4,1,6,0,1,2,0,3,1,1,0,1,1,0,1,1,1,0,0,0,12,5,1,3,1,1,4,7,2,2,3,11
OTU_13856,1,1,0,1,1,0,2,2,1,1,0,1,2,3,0,0,0,0,2,1,0,1,3,1,0,1,2,1,0,0,0,3,1,0,0,1,0,1,0,0,2,1,0,0,0,0
OTU_13857,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,1,1,2,0,0,2,0,1,0,1,3,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0
OTU_13858,1,1,1,4,0,2,0,1,0,0,1,4,2,0,2,2,0,3,3,1,0,3,5,0,0,1,3,1,0,1,3,2,1,1,2,0,2,0,0,1,4,2,1,0,2,1
OTU_13859,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,3
OTU_1386,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU_13860,1,3,10,8,7,6,2,8,3,8,4,6,4,1,8,4,4,6,12,3,11,13,10,7,9,12,4,5,10,6,2,1,6,13,18,4,9,9,4,5,12,7,2,5,9,12
OTU_13861,0,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,7,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,7,1,2,10,2,0,3,0,4,0,5
