ID,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1165,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0
OTU_1167,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
OTU_1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_117,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0
OTU_1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1173,148,235,77,158,158,138,118,74,84,160,96,217,125,90,91
OTU_1174,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
OTU_1175,1,0,0,1,0,0,0,0,29,1,1,1,6,1,1
OTU_1176,0,0,0,0,0,0,0,0,0,2,0,0,11,38,149
OTU_1177,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OTU_1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1179,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0
OTU_118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_1180,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU_1181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1183,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
OTU_1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1185,0,1,0,0,0,1,0,0,0,0,0,3,1,0,2
OTU_1186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1187,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_1188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
