"","tax_indic_sign","BF","DF","TF","index","stat","p.value"
"OTU_3754.1","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,1,0,4,0.347432226350326,0.0399
"OTU_3860.1","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,1,0,4,0.354050433711731,0.0336
"OTU_3976.1","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_indicum",1,1,0,4,0.363173429049542,0.0283
"OTU_439.1","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.360673058077741,0.0349
"OTU_683","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_sp",0,1,1,6,0.346645118933967,0.0454
"OTU_699","k__Fungi; p__Chytridiomycota; c__Rhizophlyctidomycetes; o__Rhizophlyctidales; f__Rhizophlyctidaceae; g__Rhizophlyctis; s__Rhizophlyctis_rosea",0,1,0,2,0.403839312865404,0.0083
"OTU_854","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Boletales; f__Coniophoraceae; g__Coniophora; s__Coniophora_hanoiensis",0,1,0,2,0.223365519327622,0.0167
"OTU_976.1","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.533563347776302,4e-04
"OTU_10.1","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,0,1,5,0.336014647266608,0.0496
"OTU_1096.1","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",0,1,1,6,0.427693711827634,0.0076
"OTU_1161","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Stolonocarpus; s__Stolonocarpus_gigasporus",0,0,1,3,0.337385461064106,0.0429
"OTU_1285","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_pisciphila",0,0,1,3,0.34898069043409,0.0439
"OTU_1286","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified",0,0,1,3,0.637749555608412,1e-04
"OTU_1406","k__Fungi; p__Zoopagomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.327141067202672,0.0117
"OTU_1685","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina",0,0,1,3,0.46153335530229,0.003
"OTU_1705","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.276694303658883,0.008
"OTU_1708.1","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__Talaromyces_purpureogenus",0,1,1,6,0.3329082982379,0.0485
"OTU_1723","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Botryotrichum; s__Botryotrichum_atrogriseum",0,0,1,3,0.368461480899741,0.0172
"OTU_1746.1","k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__unidentified; g__unidentified; s__unidentified",1,0,1,5,0.489119202356461,0.0019
"OTU_1940","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina",0,0,1,3,0.388353892466582,0.0188
"OTU_2056.1","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina",0,1,1,6,0.385177380085485,0.0225
"OTU_2356.1","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,1,6,0.401857586104674,0.0115
"OTU_2432","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.235382578004726,1e-04
"OTU_2494","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Naganishia; s__Naganishia_cerealis",0,0,1,3,0.347777621596212,0.0087
"OTU_2544","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Melanommataceae; g__Pleotrichocladium; s__Pleotrichocladium_opacum",0,0,1,3,0.496266972819077,0.001
"OTU_2591","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae; g__Tausonia; s__Tausonia_pullulans",0,0,1,3,0.36403289952157,0.0327
"OTU_2629","k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.462186772751336,0.0019
"OTU_2846","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys; s__Clonostachys_sp",0,0,1,3,0.523229497502545,3e-04
"OTU_2878","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.450681903384957,1e-04
"OTU_2924","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum",0,0,1,3,0.486258305608044,9e-04
"OTU_2930","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__unidentified; s__unidentified",0,0,1,3,0.551548963789555,1e-04
"OTU_3047","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.404025888700821,0.0113
"OTU_3063","k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_elongata",0,0,1,3,0.482013713426947,0.0018
"OTU_3133","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.554174727984825,3e-04
"OTU_3143","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__unidentified; s__unidentified",0,0,1,3,0.457845215449493,0.0034
"OTU_3211","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Didymella; s__Didymella_keratinophila",0,0,1,3,0.589988759284923,3e-04
"OTU_3221","k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.365672164239077,0.0207
"OTU_3225","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.353262118784324,0.0191
"OTU_3300","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__unidentified; s__unidentified",0,0,1,3,0.445840545041178,0.0061
"OTU_3369","k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.419702415497067,0.0071
"OTU_3796","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Holtermanniales; f__Holtermanniales_fam_Incertae_sedis; g__Holtermanniella; s__Holtermanniella_festucosa",0,0,1,3,0.394499701321863,0.0152
"OTU_411.1","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Hymenochaetaceae; g__unidentified; s__unidentified",1,0,1,5,0.473844593173549,0.0023
"OTU_438","k__Fungi; p__Chytridiomycota; c__Spizellomycetes; o__Spizellomycetales; f__Powellomycetaceae; g__Powellomyces; s__Powellomyces_hirtus",0,0,1,3,0.311991032461065,0.0462
"OTU_683.1","k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_sp",0,1,1,6,0.346645118933967,0.0454
"OTU_926","k__Fungi; p__Chytridiomycota; c__Chytridiomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,0,1,3,0.28101192005759,0.0327
