ID,taxonomy
OTU_1089,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1090,k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1091,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Lecythophora; s__Lecythophora_sp
OTU_1092,k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Dipodascaceae; g__Dipodascus; s__Dipodascus_geotrichum
OTU_1093,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_alcalophila
OTU_1094,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Fonsecaea; s__Fonsecaea_multimorphosa
OTU_1095,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_longifialidicum
OTU_1096,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__unidentified
OTU_1097,k__Fungi; p__Olpidiomycota; c__Olpidiomycetes; o__Olpidiales; f__Olpidiaceae; g__Olpidium; s__Olpidium_bornovanus
OTU_1098,k__Fungi; p__Chytridiomycota; c__Spizellomycetes; o__Spizellomycetales; f__unidentified; g__unidentified; s__unidentified
OTU_1099,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_11,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__Fusarium_oxysporum
OTU_110,k__Fungi; p__Kickxellomycota; c__Kickxellomycetes; o__Kickxellales; f__Kickxellaceae; g__Ramicandelaber; s__Ramicandelaber_sp
OTU_1100,k__Fungi; p__Chytridiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1101,k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae; g__Orbilia; s__Orbilia_crenatomarginata
OTU_1102,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Phallales; f__Phallaceae; g__Phallus; s__Phallus_mengsongensis
OTU_1103,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__unidentified; g__unidentified; s__unidentified
OTU_1104,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_simmonsii
OTU_1105,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma; s__Trichoderma_longifialidicum
OTU_1106,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta; s__Coniochaeta_verticillata
OTU_1107,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1108,k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces; s__Archaeorhizomyces_sp
OTU_1109,k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Scutellinia; s__Scutellinia_sp
OTU_111,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1110,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__Aspergillus_canadensis
OTU_1112,k__Fungi; p__Zoopagomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1113,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__unidentified; s__unidentified
