s.BF	s.DF	s.TF	index	stat	p.value
OTU_2786	1	0	0	1	0.17431174144378	0.5263
OTU_2803	0	1	1	6	0.128939669848447	0.702
OTU_2804	0	1	0	2	0.259590908656531	0.1531
OTU_281	1	0	0	1	0.195751591166863	0.4877
OTU_2815	0	0	1	3	0.246799585373471	0.1112
OTU_2823	1	0	1	5	0.224782202945371	0.3049
OTU_2825	0	1	1	6	0.16272317653782	0.6542
OTU_2828	1	1	0	4	0.394694165125368	0.01
OTU_2832	0	1	1	6	0.186077327246516	0.453
OTU_2841	0	0	1	3	0.0376845798153097	0.9716
OTU_2846	0	0	1	3	0.523229497502545	3e-04
OTU_2867	1	1	0	4	0.441660774611319	0.0049
OTU_2872	1	0	0	1	0.343644976128959	0.0495
OTU_2877	0	1	0	2	0.319894909833394	0.0707
OTU_2878	0	0	1	3	0.450681903384957	1e-04
OTU_2884	0	0	1	3	0.289754054329205	0.0963
OTU_2886	0	1	0	2	0.165480885058174	0.5228
OTU_2889	0	0	1	3	0.22051544739044	0.3109
OTU_2896	0	0	1	3	0.148575199872852	0.688
OTU_2898	1	1	0	4	0.0739081178909773	0.8875
OTU_2922	0	0	1	3	0.212953419545932	0.4145
OTU_2923	1	1	0	4	0.302492156113891	0.0883
OTU_2924	0	0	1	3	0.486258305608044	9e-04
OTU_2928	1	0	0	1	0.228968101874346	0.292
OTU_2929	1	0	1	5	0.155349532862338	0.5716
OTU_2930	0	0	1	3	0.551548963789555	1e-04
OTU_294	0	0	1	3	0.283891886023317	0.1377
OTU_2941	1	0	0	1	0.309992824842229	0.0901
OTU_2951	0	0	1	3	0.241849893935855	0.2362
OTU_2971	0	1	0	2	0.177654130324478	0.5301
OTU_2989	1	0	0	1	0.34445051436748	0.0443
OTU_3	1	0	1	5	0.23100452304528	0.2799
OTU_3003	1	1	0	4	0.236749299337315	0.2637
OTU_3005	1	0	0	1	0.148313437414863	0.6232
OTU_3012	1	1	0	4	0.237557881517657	0.2482
OTU_3018	1	1	0	4	0.0758784071937003	0.8736
OTU_3026	1	0	0	1	0.26662680993307	0.1795
OTU_3039	1	1	0	4	0.227445486104059	0.2937
OTU_3047	0	0	1	3	0.404025888700821	0.0113
OTU_3053	1	0	1	5	0.16978739973989	0.5161
OTU_3059	0	1	1	6	0.332766884964959	0.0637
OTU_3063	0	0	1	3	0.482013713426947	0.0018
OTU_3064	0	1	0	2	0.173920223058697	0.4922
OTU_3067	1	1	0	4	0.308414207516322	0.0919
OTU_3075	0	1	1	6	0.198710967826783	0.3821
OTU_3076	1	1	0	4	0.18776438910644	0.4526
OTU_3085	1	0	1	5	0.144867595300962	0.6299
OTU_3092	0	1	1	6	0.26284173828927	0.1843
OTU_3103	0	1	0	2	0.140866393828607	0.6681
OTU_3116	1	0	0	1	0.123617959665751	0.702
OTU_3122	0	1	0	2	0.142300838974476	0.6284
OTU_3124	0	1	0	2	0.250361518519544	0.2077
OTU_3133	0	0	1	3	0.554174727984825	3e-04
OTU_3137	1	0	1	5	0.269670750164377	0.1736
OTU_3143	0	0	1	3	0.457845215449493	0.0034
OTU_3151	0	1	1	6	0.244597614737633	0.2316
OTU_3160	1	0	0	1	0.0645710472369978	0.9456
OTU_3161	1	0	1	5	0.283442345105295	0.137
OTU_3162	0	0	1	3	0.183040579563429	0.4679
OTU_3164	1	0	1	5	0.112017159118242	0.8724
OTU_3165	0	0	1	3	0.14913974642014	0.6207
OTU_3177	1	1	0	4	0.1157365804748	0.8129
OTU_3184	0	0	1	3	0.187882949839443	0.4357
OTU_3191	1	0	0	1	0.287352636423193	0.0505
OTU_3192	0	1	1	6	0.310328734641527	0.0811
OTU_3196	1	0	0	1	0.273212113143556	0.1667
OTU_3201	0	1	1	6	0.28800283447754	0.1255
OTU_3206	0	1	0	2	0.351163554473148	0.0406
OTU_3211	0	0	1	3	0.589988759284923	3e-04
OTU_3221	0	0	1	3	0.365672164239077	0.0207
OTU_3222	0	0	1	3	0.20570154004729	0.4049
OTU_3225	0	0	1	3	0.353262118784324	0.0191
OTU_3227	1	0	1	5	0.234885361316737	0.2614
OTU_3236	0	1	0	2	0.163117466580985	0.6517
OTU_3245	0	1	0	2	0.353142051738776	0.0375
OTU_3249	1	0	0	1	0.547578520476517	3e-04
OTU_3251	0	1	1	6	0.298847314442562	0.1087
OTU_3261	0	1	0	2	0.205293001933782	0.4112
