"","BF...1","DF...2","TF...3","BF+DF","BF+TF","DF+TF","tax_indic_sign","BF...8","DF...9","TF...10","index","stat","p.value"
"OTU_2360.1",0.0466625394815359,0.335162846693716,-0.381825386175253,0.381825386175253,-0.335162846693717,-0.046662539481536,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium; s__Schizothecium_carpinicola",1,1,0,4,0.381825386175253,0.0215
"OTU_2454.1",0.0234132196337537,0.35278466268502,-0.376197882318774,0.376197882318774,-0.352784662685021,-0.0234132196337538,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.376197882318774,0.0243
"OTU_2654",-0.113712307563425,0.240524934779626,-0.126812627216201,0.126812627216201,-0.240524934779626,0.113712307563425,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.240524934779626,0.016
"OTU_2666",-0.192986450335734,0.342355936672278,-0.149369486336544,0.149369486336544,-0.342355936672278,0.192986450335734,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Geosmithia; s__Geosmithia_microcorthyli",0,1,0,2,0.342355936672278,0.0402
"OTU_2698",-0.231454033480921,0.442554945991552,-0.211100912510631,0.211100912510631,-0.442554945991552,0.231454033480921,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae; g__Chloridium; s__Chloridium_sp",0,1,0,2,0.442554945991552,0.0023
"OTU_2828.1",0.0533010018987482,0.34139316322662,-0.394694165125368,0.394694165125368,-0.34139316322662,-0.0533010018987482,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified",1,1,0,4,0.394694165125368,0.01
"OTU_2867.1",0.115915891367228,0.325744883244091,-0.44166077461132,0.441660774611319,-0.325744883244092,-0.115915891367228,"k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_fimbricystis",1,1,0,4,0.441660774611319,0.0049
"OTU_3206",-0.292701070429597,0.351163554473148,-0.0584624840435515,0.0584624840435513,-0.351163554473149,0.292701070429597,"k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.351163554473148,0.0406
"OTU_3245",-0.0565346016120497,0.353142051738776,-0.296607450126726,0.296607450126727,-0.353142051738776,0.0565346016120499,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__unidentified; s__unidentified",0,1,0,2,0.353142051738776,0.0375
"OTU_3282",-0.330559248610485,0.561169805985498,-0.230610557375013,0.230610557375013,-0.561169805985498,0.330559248610485,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.561169805985498,3e-04
"OTU_3309",-0.194410310786212,0.392501501145604,-0.198091190359392,0.198091190359392,-0.392501501145604,0.194410310786212,"k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified",0,1,0,2,0.392501501145604,9e-04
